OBJECTID,GEOID,NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
1,53033000101,"Census Tract 1.01, King County, Washington",3433,2129,236,167,69,29,29,0,0,0,0,42,0,42,87,80,7,17,17,0,57,44,13,0,0,0,1,1,0,297,130,167,32,16,16,506,203,303,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.01
2,53033000102,"Census Tract 1.02, King County, Washington",4437,3306,421,286,135,33,33,0,16,16,0,0,0,0,32,32,0,63,40,23,225,92,133,0,0,0,99,33,66,137,19,118,9,0,9,96,96,0,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.02
3,53033000201,"Census Tract 2.01, King County, Washington",4391,2877,424,261,163,0,0,0,27,27,0,57,16,41,155,155,0,186,51,135,308,308,0,30,30,0,68,35,33,30,30,0,35,0,35,194,108,86,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.01
4,53033000202,"Census Tract 2.02, King County, Washington",3757,2783,114,114,0,0,0,0,16,16,0,15,0,15,262,147,115,41,41,0,196,131,65,0,0,0,0,0,0,156,72,84,0,0,0,174,127,47,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.02
5,53033000300,"Census Tract 3, King County, Washington",2792,2168,24,24,0,0,0,0,48,48,0,21,21,0,56,56,0,0,0,0,87,18,69,138,54,84,32,24,8,123,94,29,72,72,0,23,23,0,5Y20,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",3
6,53033000402,"Census Tract 4.02, King County, Washington",5232,4360,182,137,45,71,24,47,149,149,0,0,0,0,53,25,28,33,33,0,129,57,72,37,29,8,184,154,30,34,19,15,0,0,0,0,0,0,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.02
7,53033000403,"Census Tract 4.03, King County, Washington",3078,2703,40,19,21,0,0,0,0,0,0,55,0,55,33,16,17,5,5,0,47,41,6,36,36,0,146,84,62,13,0,13,0,0,0,0,0,0,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.03
8,53033000404,"Census Tract 4.04, King County, Washington",3713,2419,143,60,83,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,85,26,59,50,16,34,31,12,19,104,52,52,0,0,0,878,190,688,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.04
9,53033000500,"Census Tract 5, King County, Washington",2981,2751,43,37,6,23,23,0,15,15,0,0,0,0,33,17,16,7,7,0,30,30,0,0,0,0,57,50,7,13,0,13,0,0,0,9,9,0,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5
10,53033000601,"Census Tract 6.01, King County, Washington",4400,3172,76,6,70,26,26,0,17,17,0,0,0,0,208,208,0,48,0,48,372,109,263,0,0,0,49,33,16,12,12,0,12,0,12,408,149,259,5Y20,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",6.01
11,53033000602,"Census Tract 6.02, King County, Washington",3476,2488,247,88,159,0,0,0,0,0,0,6,6,0,296,216,80,14,3,11,215,23,192,26,26,0,43,16,27,22,16,6,42,0,42,77,33,44,5Y20,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",6.02
12,53033000700,"Census Tract 7, King County, Washington",5156,3423,491,242,249,131,131,0,18,18,0,0,0,0,78,75,3,62,62,0,393,239,154,84,0,84,133,55,78,61,47,14,46,46,0,236,129,107,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",7
13,53033000800,"Census Tract 8, King County, Washington",2747,2291,83,74,9,11,11,0,11,11,0,25,19,6,42,42,0,0,0,0,70,28,42,176,81,95,0,0,0,38,38,0,0,0,0,0,0,0,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8
14,53033000900,"Census Tract 9, King County, Washington",2126,1711,32,31,1,0,0,0,49,41,8,0,0,0,97,78,19,0,0,0,161,61,100,15,5,10,0,0,0,5,5,0,0,0,0,56,39,17,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",9
15,53033001000,"Census Tract 10, King County, Washington",1915,1565,76,70,6,10,10,0,6,6,0,18,18,0,30,30,0,0,0,0,58,29,29,10,0,10,23,23,0,36,8,28,0,0,0,83,42,41,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",10
16,53033001100,"Census Tract 11, King County, Washington",2583,1679,92,45,47,9,9,0,9,9,0,9,0,9,26,15,11,78,15,63,146,88,58,6,0,6,343,220,123,101,59,42,51,51,0,34,34,0,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",11
17,53033001201,"Census Tract 12.01, King County, Washington",3848,2814,34,34,0,296,216,80,32,0,32,77,0,77,33,33,0,15,0,15,99,59,40,157,21,136,80,57,23,178,69,109,0,0,0,33,27,6,5Y20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",12.01
18,53033001202,"Census Tract 12.02, King County, Washington",2974,2359,14,14,0,17,17,0,9,9,0,36,36,0,106,106,0,16,16,0,130,85,45,0,0,0,15,15,0,150,60,90,58,0,58,64,13,51,5Y20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",12.02
19,53033001300,"Census Tract 13, King County, Washington",4638,3036,679,381,298,0,0,0,48,48,0,17,17,0,78,62,16,38,25,13,242,179,63,61,15,46,63,40,23,268,160,108,0,0,0,108,51,57,5Y20,Seattle,9.2,9,Licton Springs,Licton Springs,13
20,53033001400,"Census Tract 14, King County, Washington",5210,4523,113,101,12,0,0,0,45,45,0,0,0,0,0,0,0,94,0,94,114,114,0,17,9,8,204,150,54,87,54,33,13,13,0,0,0,0,5Y20,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",14
21,53033001500,"Census Tract 15, King County, Washington",2776,2467,6,6,0,43,43,0,22,22,0,26,26,0,55,55,0,0,0,0,38,0,38,9,0,9,0,0,0,74,50,24,19,19,0,17,17,0,5Y20,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",15
22,53033001600,"Census Tract 16, King County, Washington",4604,4091,76,75,1,44,17,27,18,18,0,41,22,19,160,117,43,0,0,0,114,102,12,0,0,0,14,14,0,46,46,0,0,0,0,0,0,0,5Y20,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",16
23,53033001701,"Census Tract 17.01, King County, Washington",4211,3423,288,121,167,16,16,0,33,33,0,11,11,0,133,50,83,14,0,14,111,98,13,0,0,0,0,0,0,60,60,0,122,122,0,0,0,0,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.01
24,53033001702,"Census Tract 17.02, King County, Washington",4770,3905,213,127,86,0,0,0,19,19,0,35,35,0,68,68,0,19,19,0,141,61,80,37,0,37,102,82,20,64,64,0,38,26,12,129,42,87,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.02
25,53033001800,"Census Tract 18, King County, Washington",4785,3472,98,77,21,22,22,0,137,91,46,29,28,1,93,81,12,149,130,19,252,196,56,69,37,32,49,49,0,337,289,48,62,26,36,16,16,0,5Y20,Seattle,9.2,9,Licton Springs,Licton Springs,18
26,53033001900,"Census Tract 19, King County, Washington",4866,3842,93,93,0,63,63,0,73,73,0,12,12,0,69,69,0,30,21,9,336,194,142,88,80,8,97,75,22,83,55,28,0,0,0,80,31,49,5Y20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",19
27,53033002000,"Census Tract 20, King County, Washington",3871,3213,49,29,20,25,25,0,31,31,0,74,56,18,219,162,57,0,0,0,87,53,34,49,49,0,14,1,13,86,39,47,0,0,0,24,24,0,5Y20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",20
28,53033002100,"Census Tract 21, King County, Washington",4209,3665,109,109,0,0,0,0,16,16,0,27,27,0,81,42,39,15,15,0,195,117,78,53,40,13,30,30,0,0,0,0,0,0,0,18,18,0,5Y20,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",21
29,53033002200,"Census Tract 22, King County, Washington",5776,4953,85,74,11,0,0,0,15,15,0,51,30,21,70,29,41,0,0,0,383,210,173,38,38,0,16,16,0,165,88,77,0,0,0,0,0,0,5Y20,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",22
30,53033002400,"Census Tract 24, King County, Washington",3157,2537,105,88,17,112,112,0,8,8,0,18,18,0,54,54,0,7,0,7,220,144,76,0,0,0,19,0,19,45,45,0,0,0,0,32,32,0,5Y20,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",24
31,53033002500,"Census Tract 25, King County, Washington",3429,2909,40,26,14,17,17,0,14,14,0,173,140,33,49,34,15,45,35,10,163,131,32,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",25
32,53033002600,"Census Tract 26, King County, Washington",5224,4681,173,164,9,21,21,0,20,20,0,34,34,0,88,88,0,46,46,0,32,8,24,0,0,0,0,0,0,54,35,19,0,0,0,75,75,0,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",26
33,53033002700,"Census Tract 27, King County, Washington",5616,4872,189,105,84,0,0,0,123,104,19,71,71,0,88,48,40,0,0,0,108,78,30,0,0,0,25,25,0,140,140,0,0,0,0,0,0,0,5Y20,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",27
34,53033002800,"Census Tract 28, King County, Washington",4838,4329,149,34,115,54,31,23,86,77,9,10,10,0,47,31,16,69,69,0,45,28,17,0,0,0,16,16,0,33,23,10,0,0,0,0,0,0,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",28
35,53033002900,"Census Tract 29, King County, Washington",4515,4239,29,29,0,25,25,0,13,13,0,0,0,0,43,31,12,46,46,0,21,0,21,13,0,13,0,0,0,7,7,0,79,79,0,0,0,0,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",29
36,53033003000,"Census Tract 30, King County, Washington",6197,5434,222,30,192,89,89,0,8,8,0,95,95,0,54,43,11,44,14,30,103,60,43,0,0,0,33,33,0,115,115,0,0,0,0,0,0,0,5Y20,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",30
37,53033003100,"Census Tract 31, King County, Washington",6252,5582,164,144,20,0,0,0,75,75,0,220,204,16,45,31,14,0,0,0,91,38,53,0,0,0,30,30,0,39,11,28,6,6,0,0,0,0,5Y20,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",31
38,53033003201,"Census Tract 32.01, King County, Washington",4313,3980,130,130,0,23,23,0,0,0,0,96,84,12,0,0,0,23,23,0,25,25,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",32.01
39,53033003202,"Census Tract 32.02, King County, Washington",4612,3999,160,160,0,28,28,0,0,0,0,20,0,20,125,125,0,171,171,0,0,0,0,0,0,0,0,0,0,109,109,0,0,0,0,0,0,0,5Y20,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",32.02
40,53033003301,"Census Tract 33.01, King County, Washington",4439,3553,97,97,0,32,32,0,41,41,0,0,0,0,242,239,3,51,51,0,141,141,0,0,0,0,123,77,46,86,86,0,21,21,0,52,52,0,5Y20,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",33.01
41,53033003302,"Census Tract 33.02, King County, Washington",3639,3193,225,190,35,21,21,0,0,0,0,0,0,0,50,30,20,0,0,0,50,50,0,0,0,0,79,79,0,0,0,0,21,0,21,0,0,0,5Y20,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",33.02
42,53033003400,"Census Tract 34, King County, Washington",3473,3018,49,49,0,173,173,0,50,50,0,10,10,0,20,14,6,25,25,0,57,43,14,0,0,0,0,0,0,71,71,0,0,0,0,0,0,0,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",34
43,53033003500,"Census Tract 35, King County, Washington",4237,3878,47,40,7,121,108,13,73,73,0,40,23,17,36,36,0,0,0,0,22,22,0,0,0,0,11,11,0,0,0,0,7,7,0,2,2,0,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",35
44,53033003601,"Census Tract 36.01, King County, Washington",3825,2735,166,112,54,41,41,0,17,17,0,22,22,0,117,77,40,16,0,16,210,173,37,0,0,0,0,0,0,501,57,444,0,0,0,0,0,0,5Y20,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",36.01
45,53033003602,"Census Tract 36.02, King County, Washington",3829,3019,226,226,0,0,0,0,89,89,0,0,0,0,29,29,0,16,16,0,285,69,216,36,36,0,0,0,0,129,31,98,0,0,0,0,0,0,5Y20,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",36.02
46,53033003800,"Census Tract 38, King County, Washington",2506,2167,131,83,48,25,19,6,0,0,0,22,22,0,13,13,0,7,7,0,96,48,48,0,0,0,7,7,0,29,23,6,8,8,0,1,1,0,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",38
47,53033003900,"Census Tract 39, King County, Washington",3031,2349,66,38,28,49,49,0,0,0,0,0,0,0,353,333,20,33,33,0,94,29,65,0,0,0,0,0,0,78,52,26,0,0,0,9,9,0,5Y20,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",39
48,53033004000,"Census Tract 40, King County, Washington",3217,2693,46,24,22,0,0,0,30,30,0,24,10,14,53,42,11,47,47,0,129,81,48,0,0,0,32,32,0,74,9,65,0,0,0,89,62,27,5Y20,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",40
49,53033004101,"Census Tract 41.01, King County, Washington",4181,3697,23,23,0,25,25,0,20,20,0,81,81,0,30,30,0,73,62,11,194,108,86,0,0,0,22,0,22,16,8,8,0,0,0,0,0,0,5Y20,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",41.01
50,53033004102,"Census Tract 41.02, King County, Washington",3732,3335,25,24,1,0,0,0,3,3,0,0,0,0,13,13,0,49,49,0,263,200,63,3,0,3,0,0,0,41,26,15,0,0,0,0,0,0,5Y20,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",41.02
51,53033004201,"Census Tract 42.01, King County, Washington",3258,2938,54,54,0,33,33,0,0,0,0,10,10,0,14,14,0,31,31,0,88,88,0,78,20,58,0,0,0,0,0,0,12,12,0,0,0,0,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",42.01
52,53033004202,"Census Tract 42.02, King County, Washington",4616,4366,63,63,0,0,0,0,64,50,14,13,13,0,0,0,0,0,0,0,49,49,0,11,11,0,0,0,0,48,48,0,0,0,0,2,2,0,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",42.02
53,53033004301,"Census Tract 43.01, King County, Washington",3607,2943,140,104,36,49,49,0,47,47,0,34,34,0,77,77,0,0,0,0,224,157,67,22,22,0,0,0,0,59,59,0,8,8,0,4,4,0,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.01
54,53033004302,"Census Tract 43.02, King County, Washington",4212,3268,115,79,36,36,36,0,11,11,0,23,16,7,167,80,87,55,48,7,422,132,290,25,25,0,0,0,0,62,38,24,8,8,0,20,11,9,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.02
55,53033004401,"Census Tract 44.01, King County, Washington",4249,3375,394,394,0,27,27,0,0,0,0,46,46,0,108,108,0,76,76,0,128,85,43,71,40,31,0,0,0,24,24,0,0,0,0,0,0,0,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",44.01
56,53033004402,"Census Tract 44.02, King County, Washington",3368,1970,314,285,29,70,70,0,50,50,0,253,175,78,0,0,0,84,84,0,352,237,115,141,141,0,11,11,0,16,16,0,63,63,0,44,44,0,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",44.02
57,53033004500,"Census Tract 45, King County, Washington",3256,2786,148,118,30,8,8,0,8,8,0,43,43,0,59,52,7,24,24,0,120,120,0,15,12,3,0,0,0,45,16,29,0,0,0,0,0,0,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",45
58,53033004600,"Census Tract 46, King County, Washington",3468,3156,95,58,37,28,28,0,10,10,0,17,10,7,38,38,0,6,0,6,25,0,25,10,10,0,0,0,0,36,36,0,0,0,0,47,30,17,5Y20,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",46
59,53033004701,"Census Tract 47.01, King County, Washington",2998,2460,207,132,75,0,0,0,10,10,0,0,0,0,22,22,0,19,19,0,76,76,0,152,81,71,0,0,0,52,52,0,0,0,0,0,0,0,5Y20,Seattle,10.4,10,Ballard,"Ballard, West Woodland, Adams",47.01
60,53033004702,"Census Tract 47.02, King County, Washington",3110,2446,30,30,0,0,0,0,0,0,0,32,0,32,32,32,0,97,97,0,357,128,229,0,0,0,0,0,0,0,0,0,116,116,0,0,0,0,5Y20,Seattle,10.4,10,Ballard,"Ballard, West Woodland, Adams",47.02
61,53033004703,"Census Tract 47.03, King County, Washington",3679,3176,80,80,0,0,0,0,0,0,0,0,0,0,129,77,52,0,0,0,174,72,102,0,0,0,0,0,0,120,120,0,0,0,0,0,0,0,5Y20,Seattle,10.4,10,Ballard,"Ballard, West Woodland, Adams",47.03
62,53033004800,"Census Tract 48, King County, Washington",5200,4315,112,112,0,45,45,0,76,76,0,29,29,0,226,207,19,0,0,0,313,233,80,8,8,0,0,0,0,39,39,0,0,0,0,37,37,0,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",48
63,53033004901,"Census Tract 49.01, King County, Washington",4267,3778,131,131,0,0,0,0,28,28,0,0,0,0,35,35,0,0,0,0,133,86,47,21,21,0,22,18,4,119,113,6,0,0,0,0,0,0,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",49.01
64,53033004902,"Census Tract 49.02, King County, Washington",3399,3202,15,15,0,43,43,0,30,30,0,48,48,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",49.02
65,53033005000,"Census Tract 50, King County, Washington",4271,3804,166,165,1,65,65,0,13,13,0,0,0,0,71,71,0,0,0,0,19,19,0,0,0,0,0,0,0,26,26,0,0,0,0,107,42,65,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",50
66,53033005100,"Census Tract 51, King County, Washington",3485,3037,131,89,42,16,10,6,48,48,0,24,24,0,25,16,9,1,1,0,47,47,0,0,0,0,0,0,0,22,4,18,21,21,0,113,103,10,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",51
67,53033005201,"Census Tract 52.01, King County, Washington",3678,2907,121,80,41,0,0,0,0,0,0,119,51,68,17,17,0,39,0,39,108,50,58,29,0,29,0,0,0,213,110,103,40,40,0,85,85,0,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",52.01
68,53033005202,"Census Tract 52.02, King County, Washington",3254,1795,75,75,0,16,16,0,0,0,0,18,18,0,325,271,54,106,76,30,785,568,217,79,79,0,0,0,0,55,39,16,0,0,0,0,0,0,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",52.02
69,53033005303,"Census Tract 53.03, King County, Washington",3525,2210,152,127,25,16,16,0,0,0,0,0,0,0,105,91,14,47,47,0,682,254,428,42,17,25,18,18,0,170,149,21,5,5,0,78,75,3,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.03
70,53033005304,"Census Tract 53.04, King County, Washington",3110,1753,131,123,8,26,4,22,25,25,0,40,40,0,93,85,8,126,89,37,596,328,268,104,88,16,0,0,0,143,135,8,19,19,0,54,54,0,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.04
71,53033005305,"Census Tract 53.05, King County, Washington",2252,1052,129,129,0,0,0,0,0,0,0,0,0,0,144,144,0,264,91,173,521,365,156,0,0,0,30,30,0,94,74,20,18,18,0,0,0,0,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.05
72,53033005306,"Census Tract 53.06, King County, Washington",3769,2038,17,17,0,16,16,0,16,16,0,0,0,0,327,200,127,182,149,33,969,256,713,78,15,63,0,0,0,40,39,1,0,0,0,86,86,0,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.06
73,53033005307,"Census Tract 53.07, King County, Washington",3247,2425,58,54,4,61,52,9,9,9,0,17,17,0,96,88,8,42,35,7,218,121,97,84,48,36,3,3,0,125,90,35,44,44,0,65,46,19,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.07
74,53033005401,"Census Tract 54.01, King County, Washington",3186,2740,54,28,26,41,41,0,51,51,0,0,0,0,12,0,12,120,14,106,65,65,0,0,0,0,54,54,0,29,17,12,20,20,0,0,0,0,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",54.01
75,53033005402,"Census Tract 54.02, King County, Washington",3272,2968,75,75,0,17,17,0,11,11,0,16,16,0,92,56,36,0,0,0,29,29,0,16,16,0,0,0,0,33,16,17,0,0,0,15,15,0,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",54.02
76,53033005600,"Census Tract 56, King County, Washington",6753,5916,135,94,41,11,11,0,18,18,0,0,0,0,234,221,13,60,60,0,205,157,48,0,0,0,1,0,1,163,115,48,0,0,0,10,10,0,5Y20,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",56
77,53033005700,"Census Tract 57, King County, Washington",6336,5365,117,117,0,0,0,0,42,32,10,42,28,14,213,213,0,0,0,0,318,304,14,11,11,0,61,38,23,105,89,16,0,0,0,62,15,47,5Y20,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",57
78,53033005801,"Census Tract 58.01, King County, Washington",6306,5142,195,130,65,105,50,55,15,15,0,58,42,16,479,427,52,85,54,31,67,51,16,0,0,0,42,41,1,106,53,53,0,0,0,12,12,0,5Y20,Seattle,12.2,12,Interbay,Interbay,58.01
79,53033005803,"Census Tract 58.03, King County, Washington",3037,2640,41,41,0,27,27,0,32,32,0,18,18,0,68,68,0,0,0,0,49,27,22,13,13,0,9,9,0,140,104,36,0,0,0,0,0,0,5Y20,Seattle,12.2,12,Interbay,Interbay,58.03
80,53033005804,"Census Tract 58.04, King County, Washington",2524,2084,126,90,36,0,0,0,0,0,0,0,0,0,61,61,0,0,0,0,60,31,29,0,0,0,0,0,0,193,33,160,0,0,0,0,0,0,5Y20,Seattle,12.2,12,Interbay,Interbay,58.04
81,53033005901,"Census Tract 59.01, King County, Washington",4032,3711,16,16,0,18,18,0,0,0,0,16,16,0,81,81,0,23,17,6,134,83,51,12,12,0,0,0,0,15,8,7,0,0,0,6,0,6,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",59.01
82,53033005902,"Census Tract 59.02, King County, Washington",3891,3273,247,123,124,63,63,0,0,0,0,51,51,0,18,18,0,38,38,0,161,134,27,0,0,0,4,2,2,0,0,0,36,24,12,0,0,0,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",59.02
83,53033006000,"Census Tract 60, King County, Washington",6202,5464,76,76,0,104,104,0,19,19,0,34,34,0,274,274,0,27,27,0,42,0,42,0,0,0,0,0,0,81,81,0,0,0,0,81,55,26,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",60
84,53033006100,"Census Tract 61, King County, Washington",5554,4828,123,123,0,30,30,0,8,8,0,37,37,0,64,64,0,36,0,36,212,65,147,0,0,0,0,0,0,216,216,0,0,0,0,0,0,0,5Y20,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",61
85,53033006200,"Census Tract 62, King County, Washington",4291,3678,166,147,19,7,0,7,10,0,10,51,51,0,110,110,0,0,0,0,173,135,38,0,0,0,0,0,0,47,47,0,13,7,6,36,36,0,5Y20,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",62
86,53033006300,"Census Tract 63, King County, Washington",5601,4612,75,44,31,93,78,15,626,626,0,0,0,0,25,25,0,47,47,0,0,0,0,2,0,2,67,50,17,54,54,0,0,0,0,0,0,0,5Y20,Seattle,6.5,6,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",63
87,53033006400,"Census Tract 64, King County, Washington",3506,3147,100,93,7,0,0,0,13,13,0,42,42,0,32,22,10,0,0,0,80,47,33,0,0,0,0,0,0,52,44,8,13,13,0,27,27,0,5Y20,Seattle,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",64
