OBJECTID,GEOID,NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
1406,53033008002,"Census Tract 80.02, King County, Washington",4008,2810,88,70,18,0,0,0,0,0,0,0,0,0,346,329,17,132,89,43,457,397,60,21,15,6,57,44,13,56,47,9,0,0,0,41,27,14,5Y21,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade",80.02
1407,53033008003,"Census Tract 80.03, King County, Washington",4084,2758,158,127,31,133,25,108,59,59,0,0,0,0,309,285,24,31,31,0,446,352,94,0,0,0,60,60,0,107,107,0,0,0,0,23,23,0,5Y21,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade",80.03
1408,53033008004,"Census Tract 80.04, King County, Washington",3113,2281,79,79,0,21,0,21,32,32,0,0,0,0,408,358,50,0,0,0,203,145,58,18,18,0,0,0,0,71,71,0,0,0,0,0,0,0,5Y21,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade",80.04
1409,53033008101,"Census Tract 81.01, King County, Washington",2533,1840,177,161,16,0,0,0,13,13,0,66,0,66,117,117,0,13,13,0,210,85,125,0,0,0,0,0,0,77,77,0,0,0,0,20,1,19,5Y21,Seattle,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",81.01
1410,53033008102,"Census Tract 81.02, King County, Washington",2617,1973,204,193,11,140,140,0,0,0,0,42,42,0,66,66,0,53,15,38,22,21,1,0,0,0,0,0,0,48,11,37,0,0,0,69,7,62,5Y21,Seattle,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",81.02
1411,53033008200,"Census Tract 82, King County, Washington",4064,2953,156,111,45,0,0,0,13,13,0,0,0,0,242,198,44,82,82,0,351,215,136,0,0,0,0,0,0,267,267,0,0,0,0,0,0,0,5Y21,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",82
1412,53033008300,"Census Tract 83, King County, Washington",3331,2416,50,0,50,47,47,0,39,39,0,82,67,15,281,186,95,71,28,43,167,80,87,0,0,0,6,6,0,137,137,0,35,35,0,0,0,0,5Y21,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",83
1413,53033008401,"Census Tract 84.01, King County, Washington",3073,2099,131,114,17,17,0,17,142,142,0,45,0,45,102,102,0,12,0,12,255,126,129,31,31,0,42,42,0,25,25,0,0,0,0,172,69,103,5Y21,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",84.01
1414,53033008402,"Census Tract 84.02, King County, Washington",2574,1924,217,217,0,63,63,0,81,81,0,54,54,0,0,0,0,61,55,6,118,103,15,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,5Y21,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",84.02
1415,53033008500,"Census Tract 85, King County, Washington",4415,3487,267,210,57,14,0,14,0,0,0,8,0,8,179,179,0,47,0,47,109,69,40,98,0,98,170,121,49,27,19,8,0,0,0,9,9,0,5Y21,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",85
1416,53033008600,"Census Tract 86, King County, Washington",6971,5143,557,452,105,85,85,0,54,35,19,0,0,0,238,238,0,123,123,0,224,183,41,55,33,22,32,32,0,109,87,22,8,8,0,343,66,277,5Y21,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",86
1417,53033008700,"Census Tract 87, King County, Washington",4543,4006,97,57,40,5,5,0,23,23,0,0,0,0,81,81,0,29,29,0,93,85,8,42,27,15,17,17,0,25,25,0,6,6,0,119,29,90,5Y21,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",87
1418,53033008800,"Census Tract 88, King County, Washington",3962,3284,271,156,115,0,0,0,36,36,0,0,0,0,276,205,71,30,11,19,29,20,9,0,0,0,0,0,0,26,26,0,0,0,0,10,10,0,5Y21,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",88
1419,53033008900,"Census Tract 89, King County, Washington",5779,4137,639,154,485,19,19,0,9,9,0,73,73,0,144,144,0,68,26,42,102,74,28,145,60,85,7,7,0,9,9,0,57,57,0,370,277,93,5Y21,Seattle,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",89
1420,53033009000,"Census Tract 90, King County, Washington",3528,2264,300,277,23,114,114,0,0,0,0,27,14,13,0,0,0,144,38,106,110,23,87,177,77,100,18,18,0,192,111,81,0,0,0,182,45,137,5Y21,Seattle,5.2,5,Judkins Park,"Judkins Park, Central Area, Little Saigon, Atlantic",90
